,title,year,director,rating
0,Carmencita,1894,William K.L. Dickson,5.7/10
1,Le clown et ses chiens,1892,Émile Reynaud,6.0/10
2,Poor Pierrot,1892,Émile Reynaud,6.5/10
3,Un bon bock,1892,Émile Reynaud,6.1/10
4,Blacksmith Scene,1893,William K.L. Dickson,6.2/10
5,Chinese Opium Den,1894,William K.L. Dickson,5.3/10
6,Corbett and Courtney Before the Kinetograph,1894,"William K.L. Dickson, William Heise",5.4/10
7,Edison Kinetoscopic Record of a Sneeze,1894,William K.L. Dickson,5.4/10
8,Miss Jerry,1894,Alexander Black,5.9/10
9,Leaving the Factory,1895,Louis Lumière,6.8/10
10,Akrobatisches Potpourri,1895,Max Skladanowsky,5.2/10
11,The Arrival of a Train,1896,"Auguste Lumière, Louis Lumière",7.4/10
12,The Photographical Congress Arrives in Lyon,1895,Louis Lumière,5.7/10
13,The Waterer Watered,1895,Louis Lumière,7.1/10
14,Autour d'une cabine,1894,Émile Reynaud,6.2/10
15,Boat Leaving the Port,1895,Louis Lumière,5.9/10
16,Italienischer Bauerntanz,1895,"Emil Skladanowsky, Max Skladanowsky",4.6/10
17,Das boxende Känguruh,1895,Max Skladanowsky,5.2/10
18,The Clown Barber,1898,James Williamson,5.3/10
19,The Derby 1895,1895,Birt Acres,4.7/10
