x_value,total_1,total_2
0,1000,1000
1,1004,1004
2,999,1001
3,995,1001
4,996,1004
5,997,1004
6,1004,1002
7,1005,1008
8,1012,1003
9,1016,1007
10,1010,1010
11,1017,1014
12,1014,1011
13,1009,1014
14,1015,1017
15,1010,1016
16,1018,1016
17,1019,1017
18,1013,1023
19,1007,1020
20,1011,1021
21,1008,1026
22,1007,1021
23,1009,1024
24,1007,1028
25,1012,1033
26,1015,1034
27,1018,1033
28,1017,1033
29,1020,1035
30,1027,1035
31,1033,1039
32,1027,1041
33,1031,1045
34,1037,1041
35,1042,1041
36,1039,1047
37,1046,1046
38,1044,1041
39,1038,1037
40,1033,1032
41,1035,1034
42,1040,1030
43,1045,1026
44,1052,1023
45,1060,1026
46,1067,1030
47,1064,1027
48,1066,1028
49,1068,1024
50,1064,1027
51,1069,1023
52,1071,1025
53,1071,1026
54,1075,1021
55,1073,1027
56,1074,1030
57,1071,1026
58,1073,1032
59,1069,1028
60,1074,1033
61,1070,1031
62,1067,1034
63,1061,1040
64,1068,1036
65,1076,1036
66,1082,1042
67,1088,1037
68,1087,1042
69,1092,1040
70,1095,1037
71,1097,1038
72,1104,1039
73,1110,1042
74,1111,1044
75,1116,1042
76,1123,1044
77,1131,1042
78,1134,1045
79,1128,1041
80,1124,1042
81,1121,1040
82,1118,1039
83,1120,1045
84,1126,1040
85,1121,1044
86,1129,1048
87,1133,1049
88,1140,1047
89,1134,1045
90,1136,1040
91,1139,1035
92,1143,1033
93,1148,1039
94,1147,1038
95,1146,1035
96,1140,1040
97,1148,1039
98,1146,1038
99,1140,1038
100,1138,1036
101,1136,1041
102,1139,1037
103,1141,1038
104,1144,1039
105,1146,1039
106,1150,1037
107,1144,1032
108,1141,1036
109,1145,1037
110,1142,1043
111,1143,1049
112,1141,1053
113,1135,1049
114,1130,1052
115,1132,1048
116,1128,1048
117,1127,1044
118,1128,1040
119,1132,1038
120,1134,1034
121,1129,1033
122,1125,1034
123,1133,1029
124,1141,1031
125,1148,1026
126,1151,1032
127,1157,1038
128,1163,1040
129,1170,1038
130,1175,1041
131,1183,1047
132,1190,1049
133,1192,1054
134,1197,1053
135,1195,1055
136,1202,1057
